Timestamp,Soil Moisture (%),Light Intensity (%),Humidity (%),Temperature (C)
2024-12-13 20:52,60%,26%,24%,24C
2024-12-13 20:52,60%,26%,24%,24C
2024-12-13 20:52,60%,26%,24%,24C
2024-12-13 20:52,60%,26%,24%,24C
2024-12-13 20:52,60%,26%,24%,24C
2024-12-13 20:52,60%,26%,24%,24C
2024-12-13 20:52,60%,26%,24%,24C
2024-12-13 20:52,60%,26%,24%,24C
2024-12-13 20:52,60%,26%,24%,24C
2024-12-13 20:52,60%,26%,24%,24C
2024-12-13 20:53,61%,26%,24%,24C
2024-12-13 20:53,60%,26%,24%,24C
2024-12-13 20:53,60%,26%,24%,24C
2024-12-13 20:53,60%,26%,24%,24C
2024-12-13 20:53,60%,26%,24%,24C
